id,name
500,Osvaldo
501,Mail Person
502,Roman
503,Postal Worker
505,Joey
506,Guard #1
507,Guard #2
509,Psychiatrist
510,Orderly
512,Floyd
513,Bart's Head
515,Voice On Phone
519,Leon Kompowsky
520,Minnesota Girl
521,Alabama Boy
522,QUEENS BOY
523,Female Judge
524,Dad
525,Flight Attendant
527,Irs Man
528,Hotel Guest
529,Miss Crowley
530,Truong/maria
531,TRUONG
532,MARIA
534,Worker
535,Guide
536,Lobbyist
537,Arnold
538,Newlywed Wife
539,White Trash Woman #1
540,Man #3
541,Old Timer
542,Guy
543,Songster
544,Page
545,Senator
546,Oil Developer
442,Professor Jonathan Frink
518,Snake Jailbird
464,Miss Hoover
465,BERGSTROM
511,MICHAEL
526,Pilot
478,John
508,Host
436,Guard
477,Gloria
479,Captain
496,Mrs. Glick
516,Doctor
533,BARBARA
517,Dave
514,Wiseguy
547,Agent
548,Speaker
549,Majority Leader
550,Everyone Else
551,President
552,Foreign Dignitary
553,Paper Boy
554,Sportscaster #1
555,Girl
556,Neighborhood Guy
557,Homemaker
558,Landscaper
559,Choreographer
560,George Washington
561,Video Voice
562,Man Shopper
563,HOMER (CONT'D
564,Collection Agent
565,Wife
566,Shoppers
569,Legs
571,Race Announcer
572,Jack Larson
573,Fbi Agent #1
574,Fbi Agent #2
575,Rival Gang Leader
576,Psychic
577,Skinner Body
578,Prosecuting Attorney
579,Joe
580,Neil
581,Calm Woman
582,Mr. Devereaux
583,Margarita
584,Program Voices
586,Female Worker
587,Male Worker
588,Contestant
589,Magic Johnson
590,Aristotle
592,Thought Bubble Barney
593,Female Voice
594,SCOTT
595,Miss Lois Pennycandy
596,Sexy Female Recording
597,PENNYCANDY
600,Rabbi #1
601,Rowdy Rabbi
602,Martian
604,Caller
605,MONSIGNOR DALEY
606,Yiddle
607,Rabbi #2
608,Waitress
609,Stagehand
610,Airport Announcer
611,Customs Agent
612,Military Cops
613,English Diplomat
614,Argentine Diplomat
616,Female Office Worker
617,Male Office Worker
618,Townspeople
619,Patrons
620,Vin Scully
621,Kids In Audience
622,DR MONROE
623,Crypt Keeper Willie
624,Robot
625,Homer-Ape
627,Little Man
628,Teenager
630,Baby Lisa
631,Salesclerk
632,Millicent
633,Female Clerk
634,Kevin
635,Johnny Carson
636,Scoey
637,Teenage Clerk
639,DAVE JR.
640,Official
641,Voice From Trunk
642,Ronnie
643,DREDERICK
644,Wanda
646,Girls
647,Patron #1
648,Patron #2
649,Collette
650,HARV
651,Bernard
653,Aerosmith
654,Steven Tyler
655,Joe Perry
656,Brad Whitford
568,Fat Tony
570,Louie
598,Rabbi Hyman Krustofsky
591,Luann Van Houten
615,Colonel
638,Football Announcer
567,Executive
603,D.J.
645,Becky
585,Instructor
652,Aide
626,Lunchlady Doris
658,Everyone
659,Bartender
660,One-eyed Bartender
661,Flowers
662,Tom Hamilton
663,Joey Kramer
664,Snappy
665,Broker
666,Hans
667,Fritz
670,German Teacher
671,Boxer
672,Mr. Thorson
673,Angel
674,Patient
675,Justice Of The Peace
676,Groom
677,Applicant #1
678,Applicant #2
679,Applicants
680,Tourist Kid
681,Tourist Dad
682,Boss
683,Elderly Lady
684,Repo Man
685,Driver
686,M.C.
687,Boy
688,Operator
689,Barber
690,Rosarita
691,Weasel
692,Robot Weasel
693,Señor Beaver-otti
694,Robot Animals
695,Fat Cop
696,Falcon Man
697,Sailor
698,Sting
700,Choir
701,Souvenir Hawker
702,Station Announcer
703,Old Lady #1
704,Bret
705,JIMMY
706,Sportscaster
707,Coach
708,Football Announcer #2
709,Player
710,Marco
711,Box
712,Nutty Comedian
713,Alien
714,Duff Announcer
716,Nick #2
717,Commercial Guy
718,Man On Phone
719,Bus Driver
720,Policewoman
721,Different Announcer
722,Chef Rodrigo
723,Gregory
724,FABRIZIO
725,Woman On Tv #1
726,Woman On Tv #2
727,Teenage Boy
728,CHIF WIGGUM
729,Service Manager
730,Ted
731,Sound-alikes
732,Mister Amazing
733,Sparkle
734,Romantic Lover Voice
735,Southern Private
736,Charles Boyer
737,Umpire
738,Dispatcher
739,ARI
740,Jose Canseco
743,Ozzie Smith
744,Don Mattingly
745,Steve Sax
746,Roger Clemens
747,Wade Boggs
748,KEN GRIFFEY JR.
749,Darryl Strawberry
750,Hypnotist
751,ALL THE PLAYERS
752,JOSE CONSECO
753,Ticket Taker
754,Courier
756,FORTE
757,Donna
759,PRINCIPAL WILLIE
760,Prosecutor
761,Steve Allen
762,Mr. Montone
763,Former Teacher
764,Teacher #1
765,Teacher #2
766,Hippie Teacher
768,Employer
699,Sideshow Mel
742,Tour Guide
657,HUGH
758,Tammy
767,Employee
741,Mike Scioscia
668,Charlie
715,Nick
769,Window Washers
770,Sanjay Nahasapeemapetilon
771,Lottery Announcer
772,Vet
773,Mr. Danielson
775,Sadistic Barfly
776,Young Barfly
777,Trainee
778,Butler
779,Ticket Man
780,General
781,Cowboy #1
782,Cowboy #2
783,Bar Owner
784,Yodelin' Zeke
786,Male Nurse
787,Music Store Owner
788,Mr. Boylan
789,Mule
790,Young Girl
791,Pretty Girl
792,Orville
793,Hurley
794,Dinosaur Dad
795,Dinosaur Son
796,Cellmate #1
797,FAMILY/EVERYONE
798,Crooner
799,MacGyver
800,T-shirt Guy
802,David
804,DEREK
805,Roadie
806,Stoned Guy
807,Promoter
808,DAVID/NIGEL
809,DAVID/NIGEL/DEREK
810,Landlord
811,Samantha Stanky
812,Grave Digger
813,Crane Operator
814,Worker #1
815,Worker #2
816,Mr. Stanky
818,Nun
819,NUN #2
820,Bum
821,WILLIAM POWEL LOOKALIKE
822,Bum #2
823,Nbc Anchorman
824,Jittery Private
825,Angry Sergeant
826,Men Singers
827,Female Singers
828,Smokin' Joe Frazier
829,Herb Powell
830,Mom
831,Teachers
832,Mr. Black
833,Sergeant
834,Campers
835,Line Judge
836,Stablehand
837,Little Boy #1
838,Queen Elizabeth II
839,Yoga Instructor
840,HOMER'S THOUGHT
841,Contestants
842,Mr. Bozwell
843,DEBORAH JO SMALLWOOD
845,Auditioning Woman #1
846,Auditioning Woman #2
847,Auditioning Woman #3
848,Ms. Sinclair
849,Video Game Voice
850,Company
851,Actress
852,Male Parishoner
853,Stooge #1
854,Stooge #2
855,Boring Guy
856,Commentator
857,Abraham Lincoln
858,Flanders Family
859,Jamshed
860,Insurance Agent
861,Barker
862,Booth Man
863,Caricaturist
864,Small Voice
865,Tv Father
866,Tv Daughter
867,Bitsy
868,Ramona
869,Owner
870,Ice Cream Lady
871,Amber Dempsey
872,Pahasatira
873,Judges
874,Museum Worker
875,Show Announcer
876,Bob Hope
817,Kirk Van Houten
785,Lurleen Lumpkin
774,God
803,Nigel Bakerbutcher
877,Advance Man
878,Soldier #1
879,Soldier #2
881,Nerd #1
882,Nerd #2
883,Football Player
884,Shopkeeper
885,Gangster
886,Repairman
887,Sailor #1
888,Sailor #2
889,Natives
890,'30s Reporter
891,Girl Star
892,Co-pilot
893,Monkey
894,Faces
895,Zombies
896,Skinner Zombie
897,Zombie Krusty
898,Zombie Flanders
899,Zombie D.J.'s
900,Zombie Shakespeare
901,Lisa Snail
902,Zombie
903,Pilgrim Zombie
904,Cowboy Zombie
905,Helmsman
906,Chief Engineer
907,Rowdy Woman
909,Astronaut
910,Booth Attendant
911,MCCLURE
912,Contractor
913,Headless Brakeman
914,Marley
915,Donut Man
916,Tom Jones
917,Animal Handler
918,Homer
919,Hunk
920,Price
924,Mrs. Powers
925,Guy #1
926,Guy #2
927,Chef
928,Waiter #2
929,Old Man
930,Attorney
931,Mailman
932,Delivery Boy
933,Fat Foreman
934,Old Woman
935,RICARDO
936,Alan Thicke
937,Adjuster
938,Model
939,Second Man
940,German Engineer
941,Adam West
942,President Bush
943,"""Just Stamp the Ticket"" Man"
945,Linda Ronstadt
946,Teenage Barney
948,Copy Writer
949,Cameraman
950,Bigfoot
951,Mountain Goat
952,Fruit Vendor
953,Irish Lady
954,Italian Lady
955,Talk Show Host
956,Sidekick
957,Realtor
958,Ad Man
959,Female Messenger
960,Clown Bed
961,Korean Gymnast
962,Pig
964,Gas Station Boy
965,Billy
966,Homer's Spirit
967,INTERCOM
968,Reporters
969,Sunday School Teacher
970,VIDEO TAPE NARRATOR
971,Pumpkin Man
972,Med Students
973,Handsome Young Man
974,Andre
975,Young Riviera
976,Angry Man
977,Warrior
979,Truckosaurus
980,Sebastian Kobb
981,Woman With Baby
982,Baby
983,NIMOY
984,Engineer #1
985,Haverbrook Man
944,Captain Horatio McCallister
963,Hans Moleman
