id,normalized_name
662,spookhouse
663,caricaturist booth
664,carnival
665,hotel ballroom
666,beauty salon
667,salon
668,blimp
669,springfield wax museum
670,springfield dock
671,springfield military base
672,helicopter
673,parade grounds
674,college football game
675,mayor office
676,house of evil
677,field
678,malibu stacey doll house
679,springfield harbor
680,dock
681,ship
682,skull island
683,island
684,jungle
685,giant wall
686,a springfield theater
687,another theater
688,empire state building
689,biplane
690,pet cemetery
691,space
692,starship engine room
693,chippendale-type dance club
694,homer living room
695,springfield elementary schoolyard
696,restaurant parking lot
697,the spruce caboose
698,grampa car
699,las vegas
700,las vegas hotel stage show
701,krustylu studios
702,winfield and simpson houses
703,winfield basement
704,suburban house
705,powers house
706,two guys from kabul
707,the frying dutchman
708,courthouse
709,hawaiian island
710,big top
711,used car lot
712,car show
713,condominium complex
714,mc mahon and tate advertising agency
715,agency
716,woman house
717,mountain
718,widow peak turnoff
719,truck
720,small apartment
721,realtor office
722,rendering plant
723,harbor
724,yet another house
725,truck cab
726,gas station
727,hospital emergency room
728,emergency room
729,cathedral
730,merry widow insurance company
731,insurance company
732,springfield temple
733,springfield buddhist temple
734,medical library
735,operating theater
736,college frat house
737,hospital waiting room
738,intensive care corridor
739,springfield park
740,springfield county court house
741,monorail conductor class
742,monorail construction site
743,monorail cockpit
744,lanley ofc
745,office
746,north haverbrook
747,monorail
748,springfield central monorail platform
749,monorail dais
750,monorail platform
751,monorail engine
752,monorail cabin
1695,sportacus
753,command center
754,hall of records
755,sky
756,north haverbrook airport
757,doctors office
758,anchor store
759,simpson station wagon
760,diner
761,the lucky stiff funeral home
762,funeral parlor
763,funeral parlor office
764,dating service
765,gypsy shack
766,cryogenics bank
767,sperm bank
768,selma house
769,selma apartment
770,simpson driveway
771,duff gardens entrance
772,beer hall of the presidents
773,duff garden souvenir shop
774,little land of duff
775,duff gardens
776,security office
777,soccer field
778,simpson tv room
779,bathtub
780,bigger brother agency
781,agency office
782,springfield stadium
783,baseball field
784,sky over springfield
785,tenement building
786,pepi street
787,pepi apartment
788,marine world
789,aquarium
790,kbbl radio
791,lunch room
792,wiggum home
793,adult movie theater
794,president box
795,springfield elementary school auditorium
796,auditorium stage door
797,nuclear plant parking lot
798,duff brewery
799,duff museum
800,duff brewery entrance
801,all creatures great and cheap
802,driver training school
803,church basement room
804,science fair
805,baseball stadium
806,alch-anon meeting
807,springfield power works
808,dentist office
809,union hall
810,nuclear plant hallway
811,springfield shopper building
812,red light district
813,factory
814,simpson hut
815,hardware store
816,cartoon barber shop
817,itchy scratchy studios
818,roger meyers office
819,bart and lisa bedroom
820,gym
821,gymnasium
822,writers office
823,animation building
824,adult education center
825,grampa office
826,springfield high school classroom
827,rod and todd bedroom
828,civil defense shelter
829,defense shelter
830,cafeteria
831,religious school
832,40 style night club a la the movie cabaret
833,security room
834,springfield fairgrounds
835,springfield city limits
836,fields around springfield
837,fallout shelter
838,roof top corner 12th and main
839,bart body
840,i cant believe it a law firm
841,sauna
842,podium
843,lovejoy house
844,courthouse hallway
845,springfield women prison
846,trailer
847,johnny carson house
848,johnny carson backyard
849,racetrack
850,kbbl studios
851,gabbo show
852,tour bus
853,playboy mansion
854,elizabeth taylor house
855,krusty theater
856,stage
857,building
858,springfield swap meet
859,swap meet
860,rehearsal hall
861,moe bathroom
862,boat
863,kennedy airport
864,statue of liberty
865,civic auditorium
866,grammys
867,hotel suite
868,hotel balcony
869,bldg
870,someone room
871,prison cell
872,parole board
873,hearing room
874,sideshow bob room
875,private investigator office
876,springfield bar
877,fbi office
878,simpson convertible
879,houseboat
880,marina
881,old simpson home
882,shore
883,safety chamber
884,basement of nuclear power plant
885,simulator van
886,guidance counselor
887,admissions office
888,board of overseers conference room
889,springfield university
890,construction site
891,springfield am
892,springfield university entrance
893,springfield memorial hospital
894,ballroom
895,nuclear power plant ballroom
896,burns warehouse
897,milk plant
898,burns bedroom
899,night gallery-type set
900,fashion show
901,hell
902,springfield elementary school bus
903,alien space ship
904,flanders car
905,ambulance
906,castle
907,burns castle
908,secret room
909,burns banquet hall
910,simpson house
911,soda machine
912,a different hallway
913,lenny house
914,honky-tonk roadhouse
915,sh_t kickers
916,underground club
917,the hate box
918,secluded meadow
919,ruth car
920,trail
921,springfield sign
922,trail night
923,chief wiggum police car
924,wiggum car
925,grand chasm
926,dragnet-style limbo
927,limbo
928,overpass
929,news set
930,float
931,outside the arcade
932,springfield street corner
933,outside the kwik-e-mart
934,busy main street
935,seedy springfield street
936,freighter
937,patrol meeting room
938,homer bedroom
939,the side of the river
940,the river
941,a sunny beach
942,out at sea
943,river
944,raft
945,ocean
946,offshore oil rig
948,arab nightclub
949,hmo
950,optometrist office
951,dermatologist office
952,podiatrist office
953,internist office
954,phone booth
955,telephone booth
956,homer room
957,homer bathroom
958,homer hotel room
959,convention hall
960,homer booth
961,chinese restaurant
962,chinese restaurant kitchen
963,springfield boardwalk
964,gong show
965,mr burns casino
966,skinner living room
967,suburban springfield street
968,smartline studio
969,elegant mansion
970,box factory
971,channel 6 studios
972,street corner
973,krusty bathroom
974,supermarket grand opening
975,stage door
976,little girl bedroom
977,talkshow
978,city streets
979,homer hospital room
980,channel 6 tv station
981,the van
982,simpsons
983,monstromart
984,desolate scrubland
985,himalayas
986,india
987,airport in india
988,indian plain
989,mountain trail
990,kwik-e-mart birthplace
991,center for geriatric medicine
992,seniorville trolley
993,kidstown usa
994,huge industrial complex
995,malibu stacy factory
996,someplace
997,apartment complex
998,springfield gables street
999,stacy lovell house
1000,kent brockman house
1001,somewhere
1002,mission control
1003,nasa
1004,cape canaveral base
1005,hotel banquet room
1006,simpsons base kitchen
1007,nasa training facility
1008,nasa gym
1009,nasa corridor
1010,cape canaveral
1011,launch pad
1012,simpsons base house living room
1013,nasa mission control
1014,simpsons base housing living room
1015,stadium box office
1016,shelbyville stadium
1017,springfield locker room
1018,locker room exit
1019,flanders rec room
1020,flanders dining room
1021,shelter
1022,flanders station wagon- day
1023,boat launch
1024,campsite
1025,university clock tower
1026,flanders master bedroom
1027,flanders driveway
1028,roadside
1029,first church
1030,kbbl
1031,arboretum
1032,flanders bedroom
1033,springfield streets
1034,amphitheater
1035,another amphitheater
1036,peanut factory
1037,quiet springfield street
1038,springfield animal refuge
1039,another basement room
1040,municipal courtroom
1041,sports car
1042,cheap motel
1043,basement room
1044,next room
1045,basement tv monitor room
1046,springfield laundromat
1047,italian restaurant
1048,fort springfield
1049,prison bus
1050,springfield elementary school crime lab
1051,riverbank
1052,old abandoned club house
1053,auction house
1054,desolate road
1055,quimby compound
1056,quimby compound front yard
1057,quimby mansion
1058,jury room
1059,springfield palace hotel
1060,bouvier apartment
1061,generation x group house
1062,mountaintop
1063,senior citizen minibus
1064,adult education annex
1065,old southern mansion
1066,simpson front porch
1067,attic
1068,wax museum
1069,pool emporium
1070,pool sharks
1071,dr hibbert examining room
1072,martin prince backyard
1073,jimmy stewart character house
1074,flanders front yard
1075,flanders living room
1076,lisa classroom
1077,springfield elementary school band room
1078,drainage tunnel
1079,allison living room
1080,allison playroom
1081,honey factory
1082,shorty
1083,street in small town in amish country
1084,freeway checkpoint
1085,checkpoint
1086,motel
1087,itchy scratchy land
1088,itchy scratchy land park n fly
1089,itchy scratchy land helicopter
1090,itchy scratchy land entrance
1091,itchy scratchy hotel restaurant
1092,itchy scratchy hotel
1093,parents island
1094,itchy 70 disco
1095,itchy scratchy gift shop
1096,scratchy
1097,control complex
1098,control center
1099,gift shop
1100,detention area
1101,repair room
1102,bird sanctuary
1103,entrance euro itchy scratchy land
1104,public library
1105,mrs mcfearly house
1106,republican hq
1107,sideshow bob limousine
1108,luncheonette
1109,civic center
1110,polling place
1111,parking structure
1112,burns mountain retreat
1113,caretakers quarters
1114,grand ballroom
1115,first floor
1116,pantry
1117,chief wiggum office
1118,groundskeeper willie shack
1119,shack
1120,basement
1121,time vortex
1122,springfield jungle
1123,high tech room
1124,corridor
1125,springfield primeval jungle
1126,cafeteria storeroom
1127,kitchen door
1128,neighborhood playground
1129,seashore
1130,windy hilltop
1131,gym teacher office
1132,springfield skating rink
1133,hockey rink
1134,the steps of the capitol
2172,bushes
1135,monster island
1136,skating rink locker room
1137,skating rink
1138,apu apartment
1139,ice rink
1140,candy convention
1141,rock bottom studio
1142,underwater wonderland
1143,springfield cable station
1144,public access studio
1145,college dorm
1146,huge bookstore
1147,bookstore
1148,romantic motel
1149,appliance store
1150,road out of town
1151,old simpson farmhouse
1152,simpson barn
1153,simpson farmhouse
1154,farmhouse
1155,upscale bar
1156,cheers-like bar
1157,gay bar
1158,the little black box
1159,airline headquarters
1160,airplane runway
1161,video store
1162,psychiatrist waiting room
1163,dr zweig office
1164,psychiatric center
1165,lobby
1166,marge childhood home
1167,desolate planet
1168,marge front yard
1169,corn field
1170,airport runway
1171,copter
1172,lenny and carl workstation
1173,temple roof
1174,stonecutter tunnel
1175,baskin robbins
1176,stonecutters lodge
1177,a hospital delivery room
1178,fighter cockpit
1179,fighter
1180,observatory
1181,house of representatives
1182,house of representative
1183,flanders backyard
1184,bomb shelter
1185,krusty klown kollege
1186,luigi
1187,clown college
1188,gangster car
1189,car lot
1190,switzerland village
1191,plastic surgeons office
1192,gangsters car
1193,south pole
1194,banana republic
1195,fashionable buenos aires street
1196,volcanic island
1197,australia
1198,australian house
1199,earth
1200,australian airport
1201,embassy
1202,embassy later
1203,cultural center
1204,pub
1205,parliament house
1206,ambassador office
1207,discount brokerage
1208,corporate boardroom
1209,swimming pool
1210,springfield elementary school gym
1211,first national bank of springfield
1212,doorway
