id,imdb,imdb_votes,number_in_season,number_in_series,datetime,season,title,us_viewers
286,5.6,721.0,17,286,2002-04-21,13,Gump Roast,12300000.0
70,8.7,1445.0,11,70,1992-12-17,4,Homer's Triple Bypass,23600000.0
294,7.0,645.0,3,294,2002-11-17,14,Bart vs. Lisa vs. the Third Grade,13300000.0
297,7.3,628.0,6,297,2002-12-15,14,The Great Louse Detective,15500000.0
299,7.3,598.0,8,299,2003-01-12,14,The Dad Who Knew Too Little,12800000.0
301,6.8,598.0,10,301,2003-02-09,14,Pray Anything,13400000.0
306,7.3,557.0,15,306,2003-03-16,14,C.E.D'oh,13000000.0
308,7.2,649.0,17,308,2003-04-13,14,Three Gays of the Condo,12020000.0
311,6.9,570.0,20,311,2003-05-11,14,"Brake My Wife, Please",10560000.0
313,7.7,697.0,22,313,2003-05-18,14,Moe Baby Blues,13440000.0
315,7.3,595.0,2,315,2003-11-09,15,My Mother the Carjacker,12400000.0
318,7.2,586.0,5,318,2003-11-30,15,The Fat and the Furriest,11700000.0
320,7.2,588.0,7,320,2003-12-14,15,'Tis the Fifteenth Season,11300000.0
322,7.3,607.0,9,322,2004-01-11,15,"I, (Annoyed Grunt)-bot",16300000.0
326,7.1,589.0,13,326,2004-02-22,15,Smart & Smarter,12600000.0
328,6.9,560.0,15,328,2004-03-21,15,Co-Dependents' Day,11200000.0
331,7.0,609.0,18,331,2004-04-25,15,Catch 'Em If You Can,9300000.0
333,7.3,587.0,20,333,2004-05-09,15,The Way We Weren't,6600000.0
335,7.2,553.0,22,335,2004-05-23,15,Fraudcast News,9200000.0
338,7.1,556.0,3,338,2004-11-21,16,Sleeping with the Enemy,9950000.0
340,7.1,539.0,5,340,2004-12-12,16,Fat Man and Little Boy,10310000.0
342,7.0,523.0,7,342,2005-01-30,16,Mommie Beerest,9970000.0
345,7.1,580.0,10,345,2005-02-20,16,There's Something About Marrying,10390000.0
347,7.0,586.0,12,347,2005-03-13,16,Goo Goo Gai Pan,10280000.0
349,6.9,535.0,14,349,2005-04-03,16,The Seven-Beer Snitch,7480000.0
352,7.2,562.0,17,352,2005-05-01,16,The Heartbroke Kid,10790000.0
354,7.3,575.0,19,354,2005-05-08,16,Thank God It's Doomsday,10050000.0
357,6.3,618.0,1,357,2005-09-11,17,The Bonfire of the Manatees,11100000.0
75,8.3,1209.0,16,75,1993-02-18,4,Duffless,25700000.0
363,6.7,560.0,7,363,2005-11-27,17,The Last of the Red Hat Mamas,11460000.0
365,6.9,553.0,9,365,2005-12-18,17,Simpsons Christmas Stories,9800000.0
368,6.4,597.0,12,368,2006-02-26,17,My Fair Laddy,9510000.0
370,7.0,558.0,14,370,2006-03-19,17,Bart Has Two Mommies,8750000.0
372,6.6,577.0,16,372,2006-04-02,17,Million-Dollar Abie,7830000.0
376,6.7,558.0,20,376,2006-05-07,17,Regarding Margie,8500000.0
379,7.5,754.0,1,379,2006-09-10,18,"The Mook, the Chef, the Wife and Her Homer",11500000.0
381,6.8,623.0,3,381,2006-09-24,18,"Please Homer, Don't Hammer 'Em",9720000.0
383,6.9,656.0,5,383,2006-11-12,18,G.I. (Annoyed Grunt),11430000.0
385,7.0,603.0,7,385,2006-11-26,18,Ice Cream of Margie (with the Light Blue Hair),10900000.0
387,6.4,624.0,9,387,2006-12-17,18,"Kill Gil, Volumes I & II",8960000.0
390,7.0,672.0,12,390,2007-02-11,18,Little Big Girl,8270000.0
392,7.1,644.0,14,392,2007-03-04,18,Yokel Chords,9090000.0
394,7.2,610.0,16,394,2007-03-25,18,Homerazzi,6910000.0
397,7.1,542.0,19,397,2007-05-06,18,Crook and Ladder,7720000.0
399,8.1,1179.0,21,399,2007-05-20,18,24 Minutes,9800000.0
402,6.7,684.0,2,402,2007-09-30,19,The Homer of Seville,8400000.0
406,6.7,591.0,6,406,2007-11-11,19,Little Orphan Millie,10570000.0
408,7.1,673.0,8,408,2007-11-25,19,Funeral for a Fiend,9000000.0
410,6.9,633.0,10,410,2008-01-06,19,E Pluribus Wiggum,8199999.999999999
413,7.7,788.0,13,413,2008-03-02,19,The Debarted,8180000.0
415,6.7,580.0,15,415,2008-03-30,19,Smoke on the Daughter,7100000.0
417,6.9,601.0,17,417,2008-04-27,19,Apocalypse Cow,7690000.0
419,7.1,613.0,19,419,2008-05-11,19,Mona Leaves-a,6020000.0
422,6.9,681.0,2,422,2008-10-05,20,Lost Verizon,7430000.0
424,7.1,757.0,4,424,2008-11-02,20,Treehouse of Horror XIX,12480000.0
77,7.2,1105.0,18,77,1993-04-01,4,So It's Come to This: A Simpsons Clip Show,25500000.0
433,7.2,652.0,13,433,2009-03-15,20,Gone Maggie Gone,5990000.0
438,7.0,554.0,18,438,2009-04-26,20,Father Knows Worst,5940000.0
440,6.3,591.0,20,440,2009-05-10,20,Four Great Women and a Manicure,5160000.0
442,7.1,698.0,1,442,2009-09-27,21,Homer the Whopper,8310000.000000001
448,6.8,529.0,7,448,2009-11-29,21,Rednecks and Broomsticks,9020000.0
450,6.8,481.0,9,450,2010-01-03,21,Thursdays with Abie,8650000.0
452,7.1,532.0,11,452,2010-01-31,21,Million Dollar Maybe,5110000.0
455,7.1,480.0,14,455,2010-03-14,21,Postcards from the Wedge,5230000.0
457,5.7,675.0,16,457,2010-03-28,21,The Greatest Story Ever D'ohed,5690000.0
462,6.9,491.0,21,462,2010-05-09,21,Moe Letter Blues,5660000.0
464,6.6,507.0,23,464,2010-05-23,21,Judge Me Tender,5740000.0
466,6.8,506.0,2,466,2010-10-03,22,Loan-a Lisa,8590000.0
469,7.2,482.0,5,469,2010-11-14,22,"Lisa Simpson, This Isn't Your Life",8970000.0
472,6.9,564.0,8,472,2010-12-05,22,The Fight Before Christmas,9540000.0
473,7.0,528.0,9,473,2010-12-12,22,Donnie Fatso,7180000.0
476,7.0,486.0,12,476,2011-01-23,22,Homer the Father,6500000.0
478,7.2,559.0,14,478,2011-02-20,22,Angry Dad: The Movie,6350000.0
480,6.1,481.0,16,480,2011-03-13,22,A Midsummer's Nice Dream,5440000.0
482,7.0,491.0,18,482,2011-04-10,22,The Great Simpsina,4990000.0
485,7.3,505.0,21,485,2011-05-15,22,500 Keys,6000000.0
487,7.2,672.0,1,487,2011-09-25,23,The Falcon and the D'ohman,8080000.0
489,6.6,654.0,3,489,2011-10-30,23,Treehouse of Horror XXII,8100000.0
491,7.2,562.0,5,491,2011-11-13,23,The Food Wife,7500000.0
494,6.2,476.0,8,494,2011-12-04,23,The Ten-Per-Cent Solution,9010000.0
496,6.1,549.0,10,496,2012-01-08,23,"Politically Inept, with Homer Simpson",5070000.0
498,5.7,562.0,12,498,2012-01-29,23,Moe Goes from Rags to Riches,5120000.0
447,6.7,543.0,6,447,2009-11-22,21,Pranks and Greens,7030000.0
91,8.5,1274.0,10,91,1993-12-16,5,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",17900000.0
504,7.1,470.0,18,504,2012-04-15,23,Beware My Cheating Bart,4860000.0
506,6.9,405.0,20,506,2012-05-06,23,The Spy Who Learned Me,4840000.0
508,4.5,1215.0,22,508,2012-05-20,23,Lisa Goes Gaga,4820000.0
513,6.3,426.0,5,513,2012-11-18,24,Penny-Wiseguys,5060000.0
516,7.2,441.0,8,516,2012-12-16,24,To Cur with Love,3770000.0
518,7.0,408.0,10,518,2013-01-13,24,A Test Before Trying,5040000.0
520,6.5,471.0,12,520,2013-02-10,24,Love is a Many-Splintered Thing,4190000.0000000005
522,6.2,423.0,14,522,2013-03-03,24,Gorgeous Grampa,4660000.0
525,6.5,425.0,17,525,2013-04-14,24,What Animated Women Want,4110000.0000000005
527,6.8,371.0,19,527,2013-05-05,24,Whiskey Business,4430000.0
531,7.0,635.0,1,531,2013-09-29,25,Homerland,6370000.0
534,6.7,489.0,4,534,2013-11-10,25,YOLO,4200000.0
536,6.5,468.0,6,536,2013-11-24,25,The Kid Is All Right,6780000.0
538,6.5,449.0,8,538,2013-12-15,25,White Christmas Blues,8480000.0
541,7.2,431.0,11,541,2014-01-26,25,Specs and the City,3870000.0
543,6.7,468.0,13,543,2014-03-09,25,The Man Who Grew Too Much,3750000.0
545,7.0,414.0,15,545,2014-03-23,25,The War of Art,3980000.0
547,6.5,415.0,17,547,2014-04-06,25,Luca$,4300000.0
550,7.7,705.0,20,550,2014-05-04,25,Brick Like Me,4390000.0
552,6.7,416.0,22,552,2014-05-18,25,The Yellow Badge of Cowardge,3280000.0
554,6.9,490.0,2,554,2014-10-05,26,The Wreck of the Relationship,4270000.0
557,6.3,442.0,5,557,2014-11-02,26,Opposites A-Frack,4220000.0
559,6.9,456.0,7,559,2014-11-16,26,Blazed and Confused,6700000.0
562,6.8,578.0,10,562,2015-01-04,26,The Man Who Came to Be Dinner,10620000.0
